person_spks_se_asia_austronesia_lang_filipino_tot, person_spks_macedonian_tot, person_spks_polish_tot, person_spks_greek_tot, person_spks_spanish_tot, person_spks_russian_tot, person_spks_thai_tot, person_spks_tamil_tot, person_spks_serbian_tot, person_spks_italian_tot, person_tot_spks_eng_only, gcc_code16, person_spks_indo_aryan_lang_hindi_tot, person_spks_turkish_tot, person_spks_maltese_tot, person_spks_persian_ed_tot, person_spks_indo_aryan_lang_tot_tot, person_spks_indo_aryan_lang_punjabi_tot, person_spks_indo_aryan_lang_bengali_tot, gcc_name16, person_spks_japanese_tot, person_spks_se_asia_austronesia_lang_tagalog_tot, person_spks_vietnamese_tot, person_spks_samoan_tot, person_spks_korean_tot, person_spks_oth_lang_tot, person_spks_se_asia_austronesia_lang_indonesian_tot
2741,9172,2052,5455,6491,1246,3153,1234,2935,12839,2302328,"1RNSW",2877,1756,1201,1275,15771,4919,1473,"Rest of NSW",2067,4470,3498,1081,2086,27254,1340
21451,18958,12060,76201,56929,17497,21652,28431,18544,62796,2816815,"1GSYD",64101,19838,11119,20750,220890,28495,30197,"Greater Sydney",15241,40630,99301,15427,57789,213160,28663
2003,1448,1136,3280,1769,676,1265,787,1269,10356,1241408,"2RVIC",1761,1487,932,782,9098,3377,526,"Rest of Vic.",1049,2218,1950,405,639,18653,762
15756,28035,14037,107386,33664,16984,10392,24866,15779,101849,2781188,"2GMEL",49446,30306,15954,15624,202452,52767,10458,"Greater Melbourne",10418,20821,101388,11195,14844,217558,16017
5930,852,3338,7557,14807,3672,4173,4095,3296,10015,1771105,"3GBRI",14560,1199,457,5230,48305,12982,2565,"Greater Brisbane",6784,9293,22573,13820,13213,67617,3663
5425,410,1867,2965,6135,2316,3943,1421,1463,9917,2040720,"3RQLD",3584,854,895,1474,16799,4996,1118,"Rest of Qld",10069,7691,3311,1140,6366,38908,1863
750,21,187,1522,251,98,233,156,99,1489,332472,"4RSAU",252,126,40,128,1568,793,133,"Rest of SA",173,905,440,29,102,3141,108
3105,614,5493,21464,5402,3195,1717,2536,4080,27595,977128,"4GADE",7054,564,805,4611,33019,8498,2273,"Greater Adelaide",2027,4570,18563,121,3487,45318,1712
8051,5632,5501,4536,9661,2973,5353,6571,4890,26759,1428823,"5GPER",10166,1668,351,6494,46330,11782,3071,"Greater Perth",5403,12336,19396,811,6630,75058,10119
2259,217,473,250,733,231,1043,316,141,2601,428090,"5RWAU",570,58,33,202,2314,434,195,"Rest of WA",448,2923,837,128,467,6709,786
148,7,481,1020,596,142,292,194,91,724,192382,"6GHOB",438,52,5,311,2209,386,96,"Greater Hobart",381,296,283,29,315,2759,137
179,10,210,171,335,177,198,113,35,375,257298,"6RTAS",197,31,18,283,1408,98,52,"Rest of Tas.",215,322,155,17,190,1915,116
344,12,18,69,113,25,127,34,3,169,38304,"7RNTE",204,6,4,26,821,194,22,"Rest of NT",95,414,200,84,76,1961,79
1699,13,94,3174,371,113,731,484,54,593,92942,"7GDAR",647,48,4,122,3728,478,413,"Greater Darwin",398,2577,1017,35,285,4464,1089
1304,593,1091,2436,3272,889,1075,1883,1095,3247,288639,"8ACTE",3642,285,153,933,14071,2215,1941,"Australian Capital Territory",1116,1683,4215,486,2367,14741,1325
14,0,0,0,6,6,13,4,0,12,1688,"9OTER",5,0,0,0,9,0,0,"Other Territories",0,35,10,3,0,779,4
